step,raw_hrv,raw_eda,action,tempo_bin,complexity_bin,output_file
200,64.71006328423296,0.8050018637188441,0,TEMPO_SLOW,COMPLEXITY_LOW,step200_TEMPO_SLOW_COMPLEXITY_LOW.mid
201,38.28227892665996,0.7995562173751075,0,TEMPO_SLOW,COMPLEXITY_LOW,step201_TEMPO_SLOW_COMPLEXITY_LOW.mid
202,86.27869728642277,0.798415898734515,0,TEMPO_SLOW,COMPLEXITY_LOW,step202_TEMPO_SLOW_COMPLEXITY_LOW.mid
203,48.80349450671326,0.7983977821365796,0,TEMPO_SLOW,COMPLEXITY_LOW,step203_TEMPO_SLOW_COMPLEXITY_LOW.mid
204,72.68717973419945,0.7946069621996729,0,TEMPO_SLOW,COMPLEXITY_LOW,step204_TEMPO_SLOW_COMPLEXITY_LOW.mid
205,53.16617279341322,0.7921547556196861,0,TEMPO_SLOW,COMPLEXITY_LOW,step205_TEMPO_SLOW_COMPLEXITY_LOW.mid
206,24.64742099654803,0.7872910964511588,0,TEMPO_SLOW,COMPLEXITY_LOW,step206_TEMPO_SLOW_COMPLEXITY_LOW.mid
207,32.65039413968551,0.7822284289928627,0,TEMPO_SLOW,COMPLEXITY_LOW,step207_TEMPO_SLOW_COMPLEXITY_LOW.mid
208,41.395418889163054,0.7863671521203793,0,TEMPO_SLOW,COMPLEXITY_LOW,step208_TEMPO_SLOW_COMPLEXITY_LOW.mid
209,55.66098016052562,0.7777099461662557,0,TEMPO_SLOW,COMPLEXITY_LOW,step209_TEMPO_SLOW_COMPLEXITY_LOW.mid
210,60.44881270063209,0.7775337028457715,0,TEMPO_SLOW,COMPLEXITY_LOW,step210_TEMPO_SLOW_COMPLEXITY_LOW.mid
211,80.85989114180684,0.7832968752948891,0,TEMPO_SLOW,COMPLEXITY_LOW,step211_TEMPO_SLOW_COMPLEXITY_LOW.mid
212,66.39331715133892,0.781242470246846,0,TEMPO_SLOW,COMPLEXITY_LOW,step212_TEMPO_SLOW_COMPLEXITY_LOW.mid
213,55.20195862311108,0.776236216632527,0,TEMPO_SLOW,COMPLEXITY_LOW,step213_TEMPO_SLOW_COMPLEXITY_LOW.mid
214,218.0443379987963,0.6970439029185546,2,TEMPO_FAST,COMPLEXITY_LOW,step214_TEMPO_FAST_COMPLEXITY_LOW.mid
215,73.46555797526331,0.6797417022328458,0,TEMPO_SLOW,COMPLEXITY_LOW,step215_TEMPO_SLOW_COMPLEXITY_LOW.mid
216,54.18137614841292,0.6728746206441816,0,TEMPO_SLOW,COMPLEXITY_LOW,step216_TEMPO_SLOW_COMPLEXITY_LOW.mid
217,80.36495552849827,0.6682047163161078,0,TEMPO_SLOW,COMPLEXITY_LOW,step217_TEMPO_SLOW_COMPLEXITY_LOW.mid
218,36.98409292184546,0.6612469781213421,0,TEMPO_SLOW,COMPLEXITY_LOW,step218_TEMPO_SLOW_COMPLEXITY_LOW.mid
219,116.11458738073097,0.6641432167788808,2,TEMPO_FAST,COMPLEXITY_LOW,step219_TEMPO_FAST_COMPLEXITY_LOW.mid
220,66.52859852551163,0.6549344150092592,0,TEMPO_SLOW,COMPLEXITY_LOW,step220_TEMPO_SLOW_COMPLEXITY_LOW.mid
221,77.44466241750591,0.6570058478121913,0,TEMPO_SLOW,COMPLEXITY_LOW,step221_TEMPO_SLOW_COMPLEXITY_LOW.mid
222,51.3910798086616,0.6476191153802514,0,TEMPO_SLOW,COMPLEXITY_LOW,step222_TEMPO_SLOW_COMPLEXITY_LOW.mid
223,77.26107931175453,0.6456038534947969,0,TEMPO_SLOW,COMPLEXITY_LOW,step223_TEMPO_SLOW_COMPLEXITY_LOW.mid
224,62.77908212077839,0.6485901817548737,0,TEMPO_SLOW,COMPLEXITY_LOW,step224_TEMPO_SLOW_COMPLEXITY_LOW.mid
225,31.66004227167093,0.6342417807683028,0,TEMPO_SLOW,COMPLEXITY_LOW,step225_TEMPO_SLOW_COMPLEXITY_LOW.mid
226,50.188512903434926,0.6254481035481749,0,TEMPO_SLOW,COMPLEXITY_LOW,step226_TEMPO_SLOW_COMPLEXITY_LOW.mid
227,60.07478332742232,0.6228945942018921,0,TEMPO_SLOW,COMPLEXITY_LOW,step227_TEMPO_SLOW_COMPLEXITY_LOW.mid
228,38.412853445598415,0.6243758034573218,0,TEMPO_SLOW,COMPLEXITY_LOW,step228_TEMPO_SLOW_COMPLEXITY_LOW.mid
229,52.07355690557525,0.6118926885681301,0,TEMPO_SLOW,COMPLEXITY_LOW,step229_TEMPO_SLOW_COMPLEXITY_LOW.mid
230,78.39084587216347,0.6070938127326932,0,TEMPO_SLOW,COMPLEXITY_LOW,step230_TEMPO_SLOW_COMPLEXITY_LOW.mid
231,48.97417061834841,0.5873558929673007,0,TEMPO_SLOW,COMPLEXITY_LOW,step231_TEMPO_SLOW_COMPLEXITY_LOW.mid
232,56.57355295033216,0.5712275399031702,0,TEMPO_SLOW,COMPLEXITY_LOW,step232_TEMPO_SLOW_COMPLEXITY_LOW.mid
233,70.52909854447734,0.5449605710195109,0,TEMPO_SLOW,COMPLEXITY_LOW,step233_TEMPO_SLOW_COMPLEXITY_LOW.mid
234,36.260896399699625,0.5357049814762352,0,TEMPO_SLOW,COMPLEXITY_LOW,step234_TEMPO_SLOW_COMPLEXITY_LOW.mid
235,25.73896522911824,0.5092513099053944,0,TEMPO_SLOW,COMPLEXITY_LOW,step235_TEMPO_SLOW_COMPLEXITY_LOW.mid
236,42.33678811763965,0.5021332587153873,0,TEMPO_SLOW,COMPLEXITY_LOW,step236_TEMPO_SLOW_COMPLEXITY_LOW.mid
237,39.18168043400711,0.5062851193538972,0,TEMPO_SLOW,COMPLEXITY_LOW,step237_TEMPO_SLOW_COMPLEXITY_LOW.mid
238,78.55396631350173,0.5155013117011741,0,TEMPO_SLOW,COMPLEXITY_LOW,step238_TEMPO_SLOW_COMPLEXITY_LOW.mid
239,31.267988020177004,0.4939787228628332,0,TEMPO_SLOW,COMPLEXITY_LOW,step239_TEMPO_SLOW_COMPLEXITY_LOW.mid
240,34.614822562640455,0.4870821536266746,0,TEMPO_SLOW,COMPLEXITY_LOW,step240_TEMPO_SLOW_COMPLEXITY_LOW.mid
241,44.1876795092044,0.4926376536191631,0,TEMPO_SLOW,COMPLEXITY_LOW,step241_TEMPO_SLOW_COMPLEXITY_LOW.mid
242,44.44097208657793,0.4954012158321588,0,TEMPO_SLOW,COMPLEXITY_LOW,step242_TEMPO_SLOW_COMPLEXITY_LOW.mid
243,64.9087969957666,0.4850422392869393,0,TEMPO_SLOW,COMPLEXITY_LOW,step243_TEMPO_SLOW_COMPLEXITY_LOW.mid
244,93.89722755440452,0.481685961264564,2,TEMPO_FAST,COMPLEXITY_LOW,step244_TEMPO_FAST_COMPLEXITY_LOW.mid
245,24.248337250426623,0.4773351952967424,0,TEMPO_SLOW,COMPLEXITY_LOW,step245_TEMPO_SLOW_COMPLEXITY_LOW.mid
246,76.19605634327522,0.4843187616135285,0,TEMPO_SLOW,COMPLEXITY_LOW,step246_TEMPO_SLOW_COMPLEXITY_LOW.mid
247,78.62660400362498,0.4727761008057728,0,TEMPO_SLOW,COMPLEXITY_LOW,step247_TEMPO_SLOW_COMPLEXITY_LOW.mid
248,60.27168271221112,0.4790345650083045,0,TEMPO_SLOW,COMPLEXITY_LOW,step248_TEMPO_SLOW_COMPLEXITY_LOW.mid
249,59.740083286018354,0.4692291467386276,0,TEMPO_SLOW,COMPLEXITY_LOW,step249_TEMPO_SLOW_COMPLEXITY_LOW.mid
250,40.82732844920569,0.4704679236296838,0,TEMPO_SLOW,COMPLEXITY_LOW,step250_TEMPO_SLOW_COMPLEXITY_LOW.mid
